timestamp,open,high,low,close,volume,symbol,return,Type
2021-01-11 14:15:00,31131.36,32302.1,31115.0,32169.54,1135.772717,BTC/USDT,3.33483664060934,Spike
2021-02-22 14:16:00,49965.2,49965.21,47818.99,47835.64,1218.31944,BTC/USDT,-4.262105573057728,Drawdown
2021-04-18 03:34:00,54522.0,54669.71,52088.1,52674.66,546.73769,BTC/USDT,-3.384702861335287,Drawdown
2021-05-19 11:33:00,36420.0,37600.0,36333.0,37600.0,994.287723,BTC/USDT,3.262575582849947,Spike
2021-05-19 12:53:00,34556.69,34957.26,33410.81,33478.24,1554.536972,BTC/USDT,-3.1208139436965876,Drawdown
2021-05-19 12:57:00,33497.04,35261.18,33251.34,35007.72,1021.87917,BTC/USDT,4.629241369169224,Spike
2021-05-19 13:08:00,32674.76,32674.76,31337.0,31361.26,1272.637302,BTC/USDT,-3.200072103171747,Drawdown
2021-05-19 13:09:00,31361.26,31450.54,30100.0,30101.0,1416.193856,BTC/USDT,-4.018524765905451,Drawdown
2021-05-19 13:10:00,30101.0,31474.97,30000.0,31392.53,1531.672583,BTC/USDT,4.290654795521731,Spike
2021-05-19 13:21:00,35299.52,35552.91,33000.0,33141.61,865.602598,BTC/USDT,-5.7989123344277305,Drawdown
2021-05-19 13:46:00,36630.32,36991.94,35390.0,35422.12,813.824362,BTC/USDT,-3.2983868832194507,Drawdown
2021-05-21 21:22:00,34591.88,35950.0,34567.48,35812.82,607.755386,BTC/USDT,3.598348921039163,Spike
2021-07-26 01:01:00,37522.45,39500.0,37518.16,39306.35,2099.389131,BTC/USDT,4.750786703223131,Spike
2021-09-07 15:08:00,45886.89,46020.01,44196.0,44379.32,1179.04443,BTC/USDT,-3.2854046112081203,Drawdown
2021-10-28 18:38:00,60864.98,60900.0,58664.02,58939.45,946.53603,BTC/USDT,-3.1636090244340886,Drawdown
2021-12-04 05:21:00,48618.0,48618.01,47090.42,47090.42,734.36209,BTC/USDT,-3.142005018717353,Drawdown
2021-12-04 05:26:00,46111.02,46111.02,44191.0,44502.42,1445.36632,BTC/USDT,-3.4654663774403516,Drawdown
2021-12-04 05:27:00,44502.41,44787.97,42000.3,42481.72,1061.57582,BTC/USDT,-4.540651946568297,Drawdown
2021-12-04 05:28:00,42463.28,46012.26,42244.33,44597.5,1271.70383,BTC/USDT,4.980448060954212,Spike
2022-08-19 06:38:00,22270.86,22276.49,21447.76,21483.26,2431.26138,BTC/USDT,-3.502099678703574,Drawdown
2022-09-13 12:30:00,22713.69,22799.0,21849.0,21990.65,3406.42836,BTC/USDT,-3.183278454535554,Drawdown
2022-09-21 18:00:00,19867.91,19956.0,18688.0,18773.04,3683.50561,BTC/USDT,-5.510840837470232,Drawdown
2022-11-08 19:34:00,17367.62,18274.11,17320.97,18158.02,2423.50622,BTC/USDT,4.57815448960468,Spike
2022-11-10 13:30:00,16634.84,17384.37,16548.14,17371.73,4282.33212,BTC/USDT,4.429799144446234,Spike
2023-08-17 21:43:00,27000.0,27000.01,26054.3,26054.32,1536.85317,BTC/USDT,-3.502518518518516,Drawdown
2023-08-17 21:44:00,26054.32,26064.36,25188.0,25188.01,2005.31651,BTC/USDT,-3.325014815201477,Drawdown
2020-09-05 18:55:00,312.0,324.0,311.83,324.0,7915.9358,ETH/USDT,3.7364326193449315,Spike
2020-11-26 03:33:00,509.38,525.73,508.36,525.0,9489.02652,ETH/USDT,3.066472967136513,Spike
2020-12-01 11:25:00,624.78,625.33,585.33,595.5,31305.3182,ETH/USDT,-4.684924052051153,Drawdown
2021-01-11 03:37:00,1062.86,1074.73,1016.4,1023.75,13334.43688,ETH/USDT,-3.8181493625456975,Drawdown
2021-01-11 14:15:00,952.38,1000.0,952.12,994.29,11367.56544,ETH/USDT,4.3884975170342955,Spike
2021-02-22 14:16:00,1656.88,1659.54,1577.12,1579.9,19341.55126,ETH/USDT,-4.646081792284296,Drawdown
2021-02-23 09:11:00,1402.0,1402.27,1357.0,1357.0,12604.49793,ETH/USDT,-3.2097004279600605,Drawdown
2021-05-10 20:04:00,3857.83,3859.99,3701.86,3725.7,13420.74926,ETH/USDT,-3.426985077412381,Drawdown
2021-05-13 00:01:00,3803.8,3820.0,3688.0,3693.21,8863.974,ETH/USDT,-3.114687009764061,Drawdown
2021-05-19 11:31:00,2600.0,2605.73,2500.0,2500.01,13028.3786,ETH/USDT,-3.845769230769225,Drawdown
2021-05-19 11:33:00,2500.0,2652.81,2485.4,2596.34,10190.7051,ETH/USDT,4.505295019743127,Spike
2021-05-19 12:45:00,2425.98,2580.99,2412.0,2542.83,10327.18622,ETH/USDT,4.81661019464299,Spike
2021-05-19 12:48:00,2496.7,2498.82,2400.0,2404.29,9103.91561,ETH/USDT,-3.781445345328527,Drawdown
2021-05-19 12:50:00,2347.29,2351.93,2200.0,2251.21,23081.38859,ETH/USDT,-4.282440378752761,Drawdown
2021-05-19 12:53:00,2161.51,2185.21,2001.0,2012.07,22341.72492,ETH/USDT,-6.913685340340791,Drawdown
2021-05-19 12:55:00,2006.68,2154.99,2004.01,2111.39,15539.28636,ETH/USDT,5.244819731129446,Spike
2021-05-19 12:57:00,2152.65,2255.0,2123.59,2231.87,12227.10534,ETH/USDT,3.489736206360905,Spike
2021-05-19 12:58:00,2231.96,2318.05,2224.9,2304.07,7681.52365,ETH/USDT,3.2349554409531134,Spike
2021-05-19 13:00:00,2365.18,2400.0,2220.84,2266.67,8973.72243,ETH/USDT,-4.165010696860271,Drawdown
2021-05-19 13:05:00,2220.08,2224.9,2139.75,2152.45,7216.83271,ETH/USDT,-3.074228178248495,Drawdown
2021-05-19 13:08:00,2118.73,2167.52,2000.0,2000.02,12747.23566,ETH/USDT,-5.65542876820242,Drawdown
2021-05-19 13:09:00,2000.77,2008.5,1920.0,1925.16,14003.80385,ETH/USDT,-3.7429625703742864,Drawdown
2021-05-19 13:11:00,1981.07,2151.99,1977.52,2149.98,9856.51656,ETH/USDT,8.526200487615277,Spike
2021-05-19 13:12:00,2111.14,2151.99,2022.48,2056.96,9025.44706,ETH/USDT,-4.326551874901163,Drawdown
2021-05-19 13:18:00,2258.71,2336.0,2250.66,2333.63,8623.30867,ETH/USDT,3.3169375439963567,Spike
2021-05-19 13:19:00,2322.15,2420.0,2320.06,2415.18,8834.09476,ETH/USDT,3.494555692204826,Spike
2021-05-19 13:21:00,2414.57,2450.0,2181.7,2199.1,11906.3676,ETH/USDT,-9.277304268187036,Drawdown
2021-05-19 13:22:00,2199.1,2380.0,2193.31,2343.96,8820.31326,ETH/USDT,6.587240234641456,Spike
2021-05-19 13:26:00,2364.05,2450.0,2363.49,2439.52,11081.75643,ETH/USDT,3.0890543521437497,Spike
2021-05-19 13:29:00,2425.21,2430.01,2336.07,2349.57,7489.68965,ETH/USDT,-3.1189051669752277,Drawdown
2021-05-19 13:32:00,2410.65,2499.0,2399.98,2496.92,8235.77235,ETH/USDT,3.638891771298125,Spike
