date,pump_index,std_rush_order,avg_rush_order,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,symbol,gt
2021-01-11 14:14:30,0,-0.077,-0.014,-0.246,-0.149,-0.154,0.206,-0.001,-0.001,-0.631,-0.776,0.997,0.080,BTC,0
2021-01-11 14:14:45,0,-0.172,0.019,-0.033,-0.039,0.029,0.249,-0.001,-0.001,-0.631,-0.776,0.997,0.080,BTC,0
2021-01-11 14:15:00,0,0.401,0.061,0.440,0.084,0.131,0.003,-0.000,0.000,-0.631,-0.776,1.000,-0.027,BTC,0
2021-01-11 14:15:15,0,-0.006,0.030,0.223,0.474,0.212,0.076,0.000,0.001,-0.631,-0.776,1.000,-0.027,BTC,0
2021-01-11 14:15:30,0,0.199,0.038,0.486,-0.004,-0.008,0.421,0.002,0.002,-0.631,-0.776,1.000,-0.027,BTC,0
2021-01-11 14:15:45,0,0.015,0.006,0.003,-0.026,-0.064,0.381,0.002,0.002,-0.631,-0.776,1.000,-0.027,BTC,0
2021-01-11 14:16:00,0,0.042,0.022,0.011,-0.015,-0.026,0.323,0.002,0.002,-0.631,-0.776,0.991,-0.133,BTC,0
2021-01-11 14:16:15,0,0.030,0.023,-0.032,-0.047,0.074,0.224,0.003,0.003,-0.631,-0.776,0.991,-0.133,BTC,0
2021-01-11 14:16:30,0,-0.085,0.016,-0.050,-0.052,0.049,0.048,0.003,0.003,-0.631,-0.776,0.991,-0.133,BTC,0
2021-01-11 14:16:45,0,0.199,-0.021,0.059,0.011,-0.006,-0.042,0.003,0.003,-0.631,-0.776,0.991,-0.133,BTC,0
2021-01-11 14:17:00,0,0.029,-0.013,0.018,-0.016,0.011,-0.098,0.003,0.003,-0.631,-0.776,0.971,-0.237,BTC,0
2021-04-18 03:33:30,2,-0.024,0.041,-0.067,-0.018,0.021,0.225,-0.001,-0.001,0.731,0.683,-0.364,-0.931,BTC,0
2021-04-18 03:33:45,2,0.431,0.063,0.472,0.013,0.020,0.264,-0.002,-0.002,0.731,0.683,-0.364,-0.931,BTC,0
2021-04-18 03:34:00,2,0.302,-0.070,0.316,0.011,-0.030,0.193,-0.002,-0.002,0.731,0.683,-0.461,-0.887,BTC,0
2021-05-19 11:32:30,3,-0.060,0.027,-0.086,-0.022,0.102,0.034,-0.004,-0.004,0.136,-0.991,-0.263,-0.965,BTC,0
2021-05-19 11:32:45,3,0.169,0.067,0.095,0.306,0.106,-0.039,-0.004,-0.004,0.136,-0.991,-0.263,-0.965,BTC,0
2021-05-19 11:33:00,3,0.103,0.012,0.247,0.016,0.025,-0.062,-0.002,-0.002,0.136,-0.991,-0.364,-0.931,BTC,0
2021-05-19 11:33:15,3,0.111,0.035,0.081,-0.002,0.007,-0.133,-0.001,-0.001,0.136,-0.991,-0.364,-0.931,BTC,0
2021-05-19 11:33:30,3,-0.039,0.059,-0.124,-0.096,0.083,-0.078,-0.001,-0.000,0.136,-0.991,-0.364,-0.931,BTC,0
2021-05-19 11:33:45,3,-0.064,0.022,-0.062,-0.089,-0.038,0.054,0.000,0.000,0.136,-0.991,-0.364,-0.931,BTC,0
2021-05-19 11:34:00,3,-0.003,0.001,-0.021,-0.027,0.011,0.116,0.001,0.001,0.136,-0.991,-0.461,-0.887,BTC,0
2021-05-19 11:34:15,3,-0.074,0.014,-0.109,-0.143,0.038,0.131,0.002,0.002,0.136,-0.991,-0.461,-0.887,BTC,0
2021-05-19 11:34:30,3,-0.001,0.001,0.013,-0.015,0.023,0.109,0.003,0.003,0.136,-0.991,-0.461,-0.887,BTC,0
2021-05-19 11:34:45,3,-0.086,0.014,-0.063,-0.119,0.031,0.024,0.004,0.004,0.136,-0.991,-0.461,-0.887,BTC,0
2021-05-19 11:35:00,3,-0.035,0.007,0.028,0.203,-0.055,-0.074,0.004,0.004,0.136,-0.991,-0.553,-0.833,BTC,0
2021-05-19 12:52:30,4,0.039,-0.005,0.025,-0.051,0.031,0.012,-0.000,-0.000,-0.136,-0.991,-0.678,0.735,BTC,0
2021-05-19 12:52:45,4,0.130,-0.011,0.164,0.022,-0.011,0.090,-0.001,-0.000,-0.136,-0.991,-0.678,0.735,BTC,0
2021-05-19 12:53:00,4,-0.071,-0.015,-0.039,0.006,-0.036,0.055,-0.000,-0.000,-0.136,-0.991,-0.596,0.803,BTC,0
2021-05-19 12:53:15,4,0.210,-0.068,-0.186,-0.671,-0.136,0.183,-0.003,-0.005,-0.136,-0.991,-0.596,0.803,BTC,0
2021-05-19 12:53:30,4,-0.033,-0.034,-0.096,-0.032,-0.037,0.286,-0.005,-0.006,-0.136,-0.991,-0.596,0.803,BTC,0
2021-05-19 12:53:45,4,-0.028,-0.023,-0.183,-0.107,-0.009,0.100,-0.006,-0.009,-0.136,-0.991,-0.596,0.803,BTC,0
2021-05-19 12:54:00,4,0.002,0.004,0.020,-0.096,0.036,0.142,-0.005,-0.006,-0.136,-0.991,-0.508,0.862,BTC,0
2021-05-19 12:54:15,4,-0.004,-0.028,-0.042,0.002,0.006,0.164,-0.005,-0.006,-0.136,-0.991,-0.508,0.862,BTC,0
2021-05-19 12:54:30,4,-0.142,-0.062,-0.035,0.634,-0.054,0.048,-0.006,-0.007,-0.136,-0.991,-0.508,0.862,BTC,0
2021-05-19 12:54:45,4,-0.108,-0.030,0.003,0.168,0.027,-0.048,-0.007,-0.005,-0.136,-0.991,-0.508,0.862,BTC,0
2021-05-19 12:55:00,4,0.723,0.086,0.587,0.668,0.092,-0.093,-0.006,-0.004,-0.136,-0.991,-0.413,0.911,BTC,0
2021-05-19 12:56:30,5,-0.004,0.042,-0.002,-0.004,0.007,0.027,0.000,0.002,-0.136,-0.991,-0.314,0.949,BTC,0
2021-05-19 12:56:45,5,-0.053,0.033,-0.035,-0.000,0.000,0.075,0.001,0.003,-0.136,-0.991,-0.314,0.949,BTC,0
2021-05-19 12:57:00,5,-0.104,0.040,-0.092,-0.096,0.060,0.091,0.002,0.006,-0.136,-0.991,-0.211,0.977,BTC,0
2021-05-19 12:57:15,5,-0.097,0.048,-0.047,-0.001,0.009,0.193,0.004,0.003,-0.136,-0.991,-0.211,0.977,BTC,0
2021-05-19 12:57:30,5,-0.007,-0.014,0.005,-0.032,-0.062,0.206,0.005,0.003,-0.136,-0.991,-0.211,0.977,BTC,0
2021-05-19 12:57:45,5,-0.081,0.019,-0.029,0.022,-0.019,0.054,0.007,0.007,-0.136,-0.991,-0.211,0.977,BTC,0
2021-05-19 12:58:00,5,0.021,-0.008,-0.008,0.010,0.023,-0.064,0.006,0.007,-0.136,-0.991,-0.106,0.994,BTC,0
2021-05-19 12:58:15,5,0.027,-0.006,0.026,0.035,-0.018,-0.189,0.005,0.006,-0.136,-0.991,-0.106,0.994,BTC,0
2021-05-19 12:58:30,5,-0.376,-0.089,-0.461,-0.550,-0.162,-0.010,0.002,0.000,-0.136,-0.991,-0.106,0.994,BTC,0
2021-05-19 12:58:45,5,0.742,-0.127,0.451,0.012,-0.021,0.048,0.005,0.002,-0.136,-0.991,-0.106,0.994,BTC,0
2021-05-19 13:07:30,6,0.088,0.025,0.135,-0.016,-0.007,0.176,-0.001,-0.001,-0.398,-0.917,0.678,0.735,BTC,0
2021-05-19 13:07:45,6,0.026,0.012,0.073,2.137,0.160,0.489,-0.002,-0.002,-0.398,-0.917,0.678,0.735,BTC,0
2021-05-19 13:08:00,6,0.063,-0.011,-0.020,-0.017,0.025,0.474,-0.003,-0.002,-0.398,-0.917,0.753,0.659,BTC,0
2021-05-19 13:08:15,6,-0.116,0.018,-0.084,-0.035,0.028,0.305,-0.003,-0.003,-0.398,-0.917,0.753,0.659,BTC,0
2021-05-19 13:08:30,6,0.242,0.027,0.127,0.009,0.028,0.252,-0.004,-0.004,-0.398,-0.917,0.753,0.659,BTC,0
2021-05-19 13:08:45,6,0.310,0.057,0.118,-0.016,0.009,0.131,-0.005,-0.005,-0.398,-0.917,0.753,0.659,BTC,0
2021-05-19 13:09:00,6,0.032,0.020,-0.011,-0.037,0.031,0.101,-0.006,-0.006,-0.398,-0.917,0.818,0.575,BTC,0
2021-05-19 13:09:15,6,-0.130,0.029,-0.260,0.025,0.060,0.065,-0.006,-0.006,-0.398,-0.917,0.818,0.575,BTC,0
2021-05-19 13:09:30,6,0.017,0.008,0.074,0.014,-0.019,-0.019,-0.008,-0.007,-0.398,-0.917,0.818,0.575,BTC,0
2021-05-19 13:09:45,6,-0.026,0.022,-0.074,0.017,-0.008,-0.105,-0.009,-0.009,-0.398,-0.917,0.818,0.575,BTC,0
2021-05-19 13:08:30,7,0.237,0.026,0.126,0.009,0.028,0.252,-0.004,-0.004,-0.398,-0.917,0.753,0.659,BTC,0
2021-05-19 13:08:45,7,0.310,0.057,0.118,-0.016,0.009,0.131,-0.005,-0.005,-0.398,-0.917,0.753,0.659,BTC,0
2021-05-19 13:09:00,7,0.032,0.020,-0.011,-0.037,0.031,0.101,-0.006,-0.006,-0.398,-0.917,0.818,0.575,BTC,0
2021-05-19 13:09:15,7,-0.130,0.029,-0.260,0.025,0.060,0.065,-0.006,-0.006,-0.398,-0.917,0.818,0.575,BTC,0
2021-05-19 13:09:30,7,0.017,0.008,0.074,0.014,-0.019,-0.019,-0.008,-0.007,-0.398,-0.917,0.818,0.575,BTC,0
2021-05-19 13:09:45,7,-0.026,0.022,-0.074,0.017,-0.008,-0.105,-0.009,-0.009,-0.398,-0.917,0.818,0.575,BTC,0
2021-05-19 13:09:30,8,0.015,0.008,0.073,0.014,-0.019,-0.019,-0.008,-0.007,-0.398,-0.917,0.818,0.575,BTC,0
2021-05-19 13:09:45,8,-0.023,0.021,-0.071,0.019,-0.008,-0.105,-0.009,-0.009,-0.398,-0.917,0.818,0.575,BTC,0
