date,pump_index,std_rush_order,avg_rush_order,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,symbol,gt
2021-02-23 09:12:05,32,0.236,0.139,0.143,0.478,0.194,-0.006,-0.005,-0.004,0.631,-0.776,0.957,0.289,ETH,0
2021-02-23 09:12:30,32,-0.007,0.009,-0.021,-0.014,0.034,-0.087,-0.003,-0.003,0.631,-0.776,0.957,0.289,ETH,0
2021-02-23 09:12:55,32,0.015,-0.011,0.000,-0.012,0.014,-0.103,-0.002,-0.002,0.631,-0.776,0.957,0.289,ETH,0
2021-05-19 11:32:05,35,0.013,-0.007,-0.025,-0.015,0.014,0.222,-0.006,-0.005,0.136,-0.991,-0.263,-0.965,ETH,0
2021-05-19 11:32:30,35,-0.298,-0.060,-0.248,-0.051,-0.007,0.169,-0.008,-0.007,0.136,-0.991,-0.263,-0.965,ETH,0
2021-05-19 11:32:55,35,0.173,0.020,0.259,-0.043,-0.012,-0.054,-0.006,-0.006,0.136,-0.991,-0.263,-0.965,ETH,0
2021-05-19 11:34:10,36,0.016,-0.026,0.030,-0.031,0.005,-0.104,-0.002,-0.002,0.136,-0.991,-0.461,-0.887,ETH,0
2021-05-19 11:34:35,36,-0.001,-0.025,0.009,-0.018,-0.018,0.060,0.001,0.001,0.136,-0.991,-0.461,-0.887,ETH,0
2021-05-19 11:35:00,36,0.014,-0.004,-0.033,-0.019,0.016,0.113,0.002,0.003,0.136,-0.991,-0.553,-0.833,ETH,0
2021-05-19 12:54:10,40,0.004,-0.002,-0.021,-0.044,0.019,0.089,-0.012,-0.012,-0.136,-0.991,-0.508,0.862,ETH,0
2021-05-19 12:54:35,40,-0.013,-0.023,-0.005,-0.057,-0.034,0.114,-0.010,-0.010,-0.136,-0.991,-0.508,0.862,ETH,0
2021-05-19 12:55:00,40,-0.307,-0.053,-0.363,-0.292,-0.075,-0.016,-0.011,-0.013,-0.136,-0.991,-0.413,0.911,ETH,0
2021-05-19 12:55:50,41,-0.482,0.093,-0.477,-0.397,0.096,-0.074,-0.004,-0.001,-0.136,-0.991,-0.413,0.911,ETH,0
2021-05-19 12:56:15,41,0.019,-0.007,0.010,-0.026,-0.005,-0.086,-0.002,0.001,-0.136,-0.991,-0.314,0.949,ETH,0
2021-05-19 12:56:40,41,-0.109,0.011,-0.142,-0.215,0.018,-0.061,-0.001,-0.002,-0.136,-0.991,-0.314,0.949,ETH,0
2021-05-19 12:57:55,42,-0.144,0.016,-0.109,-0.105,0.017,0.062,0.010,0.008,-0.136,-0.991,-0.211,0.977,ETH,0
2021-05-19 12:58:20,42,0.003,-0.021,-0.003,0.055,-0.043,0.009,0.010,0.009,-0.136,-0.991,-0.106,0.994,ETH,0
2021-05-19 12:58:45,42,0.004,-0.028,-0.014,-0.011,-0.026,-0.038,0.013,0.012,-0.136,-0.991,-0.106,0.994,ETH,0
2021-05-19 12:59:10,43,-0.098,-0.026,0.025,0.486,0.091,-0.029,0.014,0.014,-0.136,-0.991,-0.000,1.000,ETH,0
2021-05-19 12:59:35,43,-0.005,-0.022,0.046,-0.053,-0.041,-0.116,0.015,0.013,-0.136,-0.991,-0.000,1.000,ETH,0
2021-05-19 13:00:00,43,-0.296,-0.024,-0.167,-0.008,-0.041,-0.073,0.010,0.009,-0.398,-0.917,0.000,1.000,ETH,0
2021-05-19 13:00:50,44,-0.648,0.079,-0.475,-0.101,0.036,-0.133,0.004,0.004,-0.398,-0.917,0.000,1.000,ETH,0
2021-05-19 13:01:15,44,-0.004,0.003,0.001,0.027,-0.049,-0.143,0.004,0.002,-0.398,-0.917,0.106,0.994,ETH,0
2021-05-19 13:01:40,44,0.205,-0.010,0.106,0.015,-0.011,-0.083,0.001,0.001,-0.398,-0.917,0.106,0.994,ETH,0
